,loan_amnt,int_rate,installment,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,term_ 36 months,term_ 60 months,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation
1666,30000.0,28.8,948.61,3,230000.0,1,4.86,3.0,0.0,12.0,0.0,12183.0,26.8,33.0,0.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1669,3000.0,11.71,99.23,0,54000.0,1,14.47,0.0,0.0,7.0,1.0,1308.0,14.1,11.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1686,40000.0,15.57,963.61,10,72000.0,1,20.9,0.0,0.0,7.0,0.0,46108.0,93.5,8.0,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1693,3000.0,11.71,99.23,2,48000.0,1,18.1,0.0,2.0,20.0,0.0,3720.0,12.7,39.0,0.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1760,40000.0,7.56,1245.36,10,150000.0,1,6.85,0.0,1.0,10.0,0.0,5706.0,15.8,35.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1778,9000.0,14.74,310.85,0,46000.0,1,30.08,0.0,1.0,12.0,0.0,13487.0,56.4,23.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1802,10000.0,7.02,308.87,0,195000.0,1,20.67,0.0,0.0,17.0,0.0,160836.0,21.1,33.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1805,40000.0,8.19,814.7,0,70000.0,1,35.16,0.0,0.0,13.0,0.0,26139.0,36.9,20.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1883,15000.0,7.02,463.3,6,63000.0,1,28.65,0.0,0.0,18.0,0.0,3601.0,6.8,39.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1904,13000.0,7.02,401.53,0,160000.0,1,11.56,0.0,0.0,10.0,0.0,13061.0,35.1,22.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1944,6025.0,12.4,201.27,10,50000.0,1,4.72,1.0,1.0,6.0,0.0,4493.0,32.1,17.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1948,6000.0,20.0,222.99,10,51912.0,1,4.44,3.0,1.0,11.0,0.0,1832.0,91.6,57.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2061,20000.0,6.46,612.62,10,151000.0,1,4.26,1.0,0.0,19.0,0.0,9212.0,8.4,45.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2103,6000.0,10.33,194.54,0,25000.0,1,28.04,1.0,0.0,4.0,0.0,4991.0,80.5,10.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2122,11000.0,13.08,250.74,10,150000.0,1,9.62,0.0,0.0,4.0,0.0,123.0,0.4,9.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2227,20000.0,20.0,743.28,0,80000.0,1,0.42,0.0,0.0,11.0,0.0,69.0,0.0,12.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2234,20000.0,28.8,632.41,10,156000.0,1,10.88,0.0,1.0,14.0,0.0,39409.0,54.1,28.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2311,6000.0,7.56,186.81,10,125000.0,1,11.53,1.0,1.0,13.0,0.0,2703.0,5.5,57.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2326,4000.0,15.57,139.79,0,35000.0,1,23.9,0.0,1.0,12.0,0.0,6980.0,24.2,32.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2399,24000.0,17.97,867.3,10,129000.0,1,19.79,1.0,0.0,19.0,0.0,28085.0,46.1,32.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2448,7500.0,14.74,259.04,10,70000.0,1,15.19,0.0,2.0,12.0,0.0,17872.0,30.1,29.0,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2484,16000.0,22.5,446.47,3,75000.0,1,23.63,0.0,2.0,24.0,0.0,16790.0,27.8,28.0,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2489,40000.0,16.4,981.25,8,160000.0,1,10.82,0.0,0.0,8.0,0.0,69407.0,87.5,20.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2491,6000.0,13.08,202.4,0,35707.0,1,15.66,0.0,0.0,9.0,0.0,10075.0,20.0,9.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2563,9000.0,8.19,282.82,10,74000.0,1,9.96,0.0,0.0,6.0,0.0,10930.0,37.6,34.0,0.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2565,15000.0,8.81,475.68,0,65000.0,1,3.42,0.0,0.0,7.0,1.0,12519.0,54.7,26.0,1.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2709,15000.0,14.74,518.08,10,94000.0,1,22.74,0.0,0.0,13.0,0.0,12664.0,44.9,37.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2781,30000.0,13.08,683.83,4,130000.0,1,16.22,0.0,1.0,11.0,1.0,3809.0,17.5,28.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2843,12000.0,13.08,404.79,10,80000.0,1,17.49,0.0,0.0,7.0,0.0,4152.0,63.9,42.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2887,40000.0,20.0,1059.76,10,40000.0,1,41.9,1.0,0.0,17.0,0.0,33186.0,88.7,43.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2957,15000.0,6.46,459.47,10,120000.0,1,11.31,1.0,2.0,27.0,0.0,19669.0,13.6,53.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3000,4000.0,12.4,133.63,2,68500.0,0,9.74,1.0,1.0,10.0,0.0,4278.0,20.5,17.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3017,13000.0,28.8,543.37,10,70000.0,1,20.57,0.0,2.0,11.0,0.0,12070.0,48.1,26.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3023,5000.0,20.0,185.82,7,50000.0,1,11.33,0.0,0.0,8.0,0.0,10626.0,37.7,27.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
